VIEW_PORTFOLIO,2026-05-25T20:11:37.27385
DEPOSIT_FUNDS,2026-05-25T20:31:23.424417
REGISTER_USER,2026-05-25T20:34:24.207649
DEPOSIT_FUNDS,2026-05-25T20:34:55.630297
PLACE_SPOT_ORDER,2026-05-25T20:36:10.856664
PLACE_SPOT_ORDER,2026-05-25T20:36:44.067576
VIEW_TRADE_HISTORY,2026-05-25T20:36:56.421312
REGISTER_USER,2026-05-25T20:42:12.655459
DEPOSIT_FUNDS,2026-05-25T20:42:25.804903
WITHDRAW_FUNDS,2026-05-25T20:43:06.464423
PLACE_SPOT_ORDER,2026-05-25T20:43:33.474845
REGISTER_USER,2026-05-25T20:45:09.858867
DEPOSIT_FUNDS,2026-05-25T20:45:18.439645
PLACE_SPOT_ORDER,2026-05-25T20:45:43.112091
CANCEL_ORDER,2026-05-25T20:45:50.02606
VIEW_OPEN_ORDERS,2026-05-25T20:45:56.337591
FILTER_TRADES_BY_MARKET,2026-05-25T20:46:17.928098
MARKET_SUMMARY,2026-05-25T20:46:28.69185
REGISTER_USER,2026-05-26T00:22:52.266463
DEPOSIT_FUNDS,2026-05-26T00:23:08.065181
PLACE_SPOT_ORDER,2026-05-26T00:23:32.184539
VIEW_OPEN_ORDERS,2026-05-26T00:23:40.094645
MARKET_SUMMARY,2026-05-26T00:23:46.261023
